RECRUITED_PERCENTAGE_LESS_THAN;Menos de §Y$VAL$§W% de soldados possíveis recrutados.\n;Moins de §Y$VAL$§W % des soldats potentiels ont été recrutés.\n;Weniger als §Y$VAL$§W% der möglichen Soldaten rekrutiert.\n;;Menos del §Y$VAL$§W% de los soldados posibles reclutados.\n;;;;;;;;x
RECRUITED_PERCENTAGE_MORE_THAN;Ao menos §Y$VAL$§W% de soldados possíveis recrutados.\n;Au moins §Y$VAL$§W % des soldats potentiels ont été recrutés.\n;Mindestens §Y$VAL$§W% der möglichen Soldaten rekrutiert.\n;;Al menos el §Y$VAL$§W% de los soldados posibles reclutados.\n;;;;;;;;x
SEPARATISM_TECH;Separatismo;Séparatisme;Separatismus;;Separatismo;;;;;;;;x
INC_RES_TECH;Pontos de pesquisa;Points de recherche;Forschungspunkte;;Puntos de investigación;;;;;;;;x
TOTAL_POPS_NOT_TR;Menos de §Y$VAL$§W pops em $WHERE$.\n;Moins de §Y$VAL$§W pop en $WHERE$.\n;Weniger als §Y$VAL$§W Bevs in $WHERE$.\n;;Menos de §Y$VAL$§W POB en $WHERE$.\n;;;;;;;;x
TOTAL_POPS_TR;Ao menos de §Y$VAL$§W pops em $WHERE$.\n;Au moins §Y$VAL$§W pop en $WHERE$.\n;Mindestens §Y$VAL$§W Bevs in $WHERE$.\n;;Al menos §Y$VAL$§W POB en $WHERE$.\n;;;;;;;;x
IS_CRIME_NOT_HIGHER_THAN_EDU_TR;Gasta mais em §Yeducação§W do que em administração.\n;Les dépenses d’§Yéducation§W sont supérieures aux dépenses d’administration.\n;Ausgaben für §YBildung§W übersteigen die für Verwaltung.\n;;Se gasta más en §Yeducación§W que en administración.\n;;;;;;;;x
IS_CRIME_HIGHER_THAN_EDU_TR;Gasta mais em §Yadministração§W do que em educação.\n;Les dépenses d’§Yadministration§W sont supérieures aux dépenses d’éducation.\n;Ausgaben für §YVerwaltung§W übersteigen die für Bildung.\n;;Se gasta más en §Yadministración§W que en educación.\n;;;;;;;;x
ANY_AT_WAR_STARTS;Qualquer país que está em guerra.;Tout pays avec lequel nous sommes en guerre.;Jedes Land, mit dem Krieg herrscht.;;Cualquier país con el que estás en guerra.;;;;;;;;x
REBEL_POWER_LESS_THAN;A ameaça rebelde é inferior a §Y$VAL$§W %.;La menace rebelle est inférieure à §Y$VAL$§W %.;Bedrohung durch Rebellen beträgt weniger als §Y$VAL$§W Prozent.;;La amenaza de los rebeldes es inferior al §Y$VAL$§W por ciento.;;;;;;;;x
REBEL_POWER_MORE_THAN;A ameaça rebelde é superior a §Y$VAL$§W %.;La menace rebelle est d’au moins §Y$VAL$§W %.;Bedrohung durch Rebellen beträgt mindestens §Y$VAL$§W Prozent.;;La amenaza de los rebeldes es de al menos el §Y$VAL$§W por ciento.;;;;;;;;x
POP_TYPE_PERC_NOT;Os $NAME$ representam menos de §Y$VAL$%§W.\n;$NAME$ : inférieur à §Y$VAL$%§W.\n;$NAME$ ist weniger als §Y$VAL$%§W.\n;;Los $NAME$ representan menos del §Y$VAL$%§W.\n;;;;;;;;x
POP_TYPE_PERC;Os $NAME$ representam, pelo menos §Y$VAL$%§W.\n;$NAME$ : supérieur à §Y$VAL$%§W.\n;$NAME$ ist mindestens §Y$VAL$%§W.\n;;Los $NAME$ representan al menos el §Y$VAL$%§W.\n;;;;;;;;x
MAJORITY_IS;A maioria da população é ;La majorité de la population est ;Bevölkerungsmehrheit ist ;;La mayoría de la población es ;;;;;;;;x
MAJORITY_IS_NOT;A maioria da população NÃO é ;La majorité de la population n’est PAS ;Bevölkerungsmehrheit ist NICHT ;;La mayoría de la población NO es ;;;;;;;;x
ICL;Islândia;Islande;Island;;Islandia;;;;;;;;x
ICL_ADJ;Islandês;islandais;Isländisch;;Islandesa;;;;;;;;x
ISR;Israel;Israël;Israel;;Israel;;;;;;;;x
ISR_ADJ;Israelense;israélien;Israelitisch;;Israelí;;;;;;;;x
BYZ;Império Bizantino;Empire byzantin;Byzantinisches Reich;;Imperio Bizantino;;;;;;;;x
BYZ_ADJ;Bizantino;byzantin;Byzantinisch;;Bizantina;;;;;;;;x
BYZ_conservative;Komma Ethnikofronon;Komma Ethnikofronon;Komma Ethnikofronon;;Komma Ethnikofronon;;;;;;;;x
BYZ_reactionary;Kómma Paleologós;Kómma Paleologós;Kómma Paleologós;;Kómma Paleologós;;;;;;;;x
BYZ_liberal;Kómma Fileleftheron;Kómma Fileleftheron;Kómma Fileleftheron;;Kómma Fileleftheron;;;;;;;;x
BYZ_anarcho_liberal;Neoteristikon Kómma;Neoteristikon Kómma;Neoteristikon Kómma;;Neoteristikon Kómma;;;;;;;;x
BYZ_socialist;Sosialistikó Kómma Byzantós;Sosialistikó Kómma Byzantós;Sosialistikó Kómma Byzantós;;Sosialistikó Kómma Byzantós;;;;;;;;x
BYZ_communist;Kommounistikó Kómma Byzantós;Kommounistikó Kómma Byzantós;Kommounistikó Kómma Byzantós;;Kommounistikó Kómma Byzantós;;;;;;;;x
BYZ_fascist;Kómma ton Eleutherofróvon;Kómma ton Eleutherofróvon;Kómma ton Eleutherofróvon;;Kómma ton Eleutherofróvon;;;;;;;;x
ISR_conservative;Herut;Herut;Herut;;Herut;;;;;;;;x
ISR_reactionary;Hazit Datit Meuhedet;Hazit Datit Meuhedet;Hazit Datit Meuhedet;;Hazit Datit Meuhedet;;;;;;;;x
ISR_liberal;Miflaga Progresivit;Miflaga Progresivit;Miflaga Progresivit;;Miflaga Progresivit;;;;;;;;x
ISR_anarcho_liberal;Tzionim Klaliym;Tzionim Klaliym;Tzionim Klaliym;;Tzionim Klaliym;;;;;;;;x
ISR_socialist;Mifleget Poalei Eretz Yisrael;Mifleget Poalei Eretz Yisrael;Mifleget Poalei Eretz Yisrael;;Mifleget Poalei Eretz Yisrael;;;;;;;;x
ISR_communist;HaMiflega HaKomunistit HaYisraelit;HaMiflega HaKomunistit HaYisraelit;HaMiflega HaKomunistit HaYisraelit;;HaMiflega HaKomunistit HaYisraelit;;;;;;;;x
ISR_fascist;Brit HaBirionim;Brit HaBirionim;Brit HaBirionim;;Brit HaBirionim;;;;;;;;x
ICL_conservative;Sjálfstaeddisflokkurinn;Sjálfstaeddisflokkurinn;Sjálfstaeddisflokkurinn;;Sjálfstaeddisflokkurinn;;;;;;;;x
ICL_reactionary;Borgaraflokkurinn;Borgaraflokkurinn;Borgaraflokkurinn;;Borgaraflokkurinn;;;;;;;;x
ICL_liberal;Framsóknarflokkurinn;Framsóknarflokkurinn;Framsóknarflokkurinn;;Framsóknarflokkurinn;;;;;;;;x
ICL_anarcho_liberal;Besti flokkurinn;Besti flokkurinn;Besti flokkurinn;;Besti flokkurinn;;;;;;;;x
ICL_socialist;Althýedduflokkurinn;Althýedduflokkurinn;Alth_edduflokkurinn;;Althýedduflokkurinn;;;;;;;;x
ICL_communist;Kommúnistaflokkur Íslands;Kommúnistaflokkur Íslands;Kommúnistaflokkur Íslands;;Kommúnistaflokkur Íslands;;;;;;;;x
ICL_fascist;Flokkur Thjóeddernissinna;Flokkur Thjóeddernissinna;Flokkur Thjóeddernissinna;;Flokkur Thjóeddernissinna;;;;;;;;x
ANY_CORE_LIMITED;Para qualquer núcleo que é\n;Pour tout territoire clé qui est\n;Für jede Kernprovinz, für die gilt:\n;;Para cualquier núcleo que esté\n;;;;;;;;x
ANY_CORE_NORMAL;Todas as províncias centrais terá\n;Tous les territoires clés obtiennent\n;Alle Kernprovinzen erhalten\n;;Todas las provincias núcleo recibirán\n;;;;;;;;x
POLITICS_NOT_BEFORE;Nós não podemos mudar partido no poder novamente antes de §Y$DATE$§W.;Nous ne pouvons pas changer de parti dirigeant avant §Y$DATE$§W.;Ein erneuter Wechsel der Regierungspartei ist vor §Y$DATE$§W unmöglich.;;No podemos cambiar de nuevo el partido gobernante hasta el §Y$DATE$§W.;;;;;;;;x
POLITICS_NOT_ACCEPTED;A nossa forma de governo não permite partidos §Y$WHICH$§W.;Notre forme de gouvernement n’autorise pas les partis §Y$WHICH$§W.;Unsere Regierungsform gestattet keine §Y$WHICH$en§W Parteien.;;Nuestra forma de gobierno no permite partidos §Y$WHICH$§W.;;;;;;;;x
RELEASE_PRESTIGE;Prestigio: ;Prestige : ;Prestige: ;;Prestigio: ;;;;;;;;x
RELEASE_INFAMY;Infâmia: ;Infamie : ;Infamie: ;;Infamia: ;;;;;;;;x
PROV3247;Havaí Oeste;Hawaii ouest;West-Hawaii;;Hawai occidental;;;;;;;;;x
PROV3248;Estreito Oeste de Magalhães;Ouest du détroit de Magellan;Westliche Magellanstraße;;Estrecho de Magallanes occidental;;;;;;;;;x
EVTDESC1002;Um grupo de liberais descontentes com a falta de liberdade econômica, e o ritmo da reforma parlamentar, formaram uma nova facção na área politica $COUNTRY_ADJ$. Os anarco-liberais são o revolucionário de vanguarda da ideologia liberal, e eles não vão hesitar em usar todos os meios necessários para ver as suas ideias de liberdade e livre comércio instituído o interior da ideologia liberal em $COUNTRY$ e suas respectivas fronteiras.;Un groupe de libéraux mécontents du manque de liberté économique et du progrès des réformes parlementaires a créé une nouvelle faction politique en $COUNTRY$. Les anarcho-libéraux constituent l’avant-garde révolutionnaire de l’idéologie libérale, et ils n’hésiteront pas à recourir à tous les moyens nécessaires pour voir prospérer leurs idéaux de liberté individuelle et commerciale en $COUNTRY$ et dans le monde.;Eine Gruppe Liberaler, die aufgrund ihrer fehlenden wirtschaftlichen Freiheit und der ihrer Ansicht nach zu langsam ablaufenden parlamentarischen Reform unzufrieden ist, hat eine neue Fraktion in der $COUNTRY_ADJ$en Politik gebildet. Die Anarcho-Liberalen sind die revolutionäre Avantgarde der liberalen Ideologie, und sie werden vor keinen Mitteln zurückschrecken, um ihre Ideen von Freiheit und Handelsfreiheit in $COUNTRY$ und im Ausland durchzusetzen.;;Un grupo de liberales, descontentos con la falta de libertad económica y la lentitud de las reformas parlamentarias, ha formado una nueva facción en la escena política $COUNTRY_ADJ$. Los anarcoliberales, vanguardia de la ideología liberal, no vacilarán en usar los medios necesarios para que sus ideales de libertad y libre comercio se implanten tanto en $COUNTRY$ como más allá de sus fronteras.;;;;;;;;;x
SOMEONE_HAS_ADDED_STATUS_QUO;Não podemos adicionar um objetivo militar se alguém acrescentou um §YStatus Quo§W;Nous ne pouvons pas ajouter d’objectif de guerre si quelqu’un a ajouté l’objectif de guerre : §YStatu Quo§W.;Wir können kein Kriegsziel hinzufügen, wenn jemand ein §YStatus Quo§W-Kriegsziel hinzugefügt hat.;;No podemos añadir un objetivo bélico si alguien ya ha añadido uno de §YStatus Quo§W;;;;;;;;x
NO_INTERVENTION_NOT_ENOUGH_OPINION;A fim de intervir, uma nação alvo de um objetivo militar precisa de opinião sobre nós de pelo menos §Y$REQLEVEL$§W;Pour intervenir, une nation visée par un objectif de guerre doit avoir au moins une opinion de nous égale à §Y$REQLEVEL$§W.;Zum Intervenieren muss eine Nation, die Ziel eines Kriegsziels ist, mindestens eine §Y$REQLEVEL$§W von uns haben.;;Para poder intervenir, un país objeto de un objetivo bélico debe tener una opinión sobre nosotros de al menos §Y$REQLEVEL$§W;;;;;;;;x
peking_convention_title;A Convenção de Pequim;La convention de Pékin.;Die Pekinger Konvention;;La convención de Pekín;;;;;;;;;x
peking_convention_desc;Desde o Tratado de Nerchinsk (1689), o Império Russo reconheceu o rio Argun e as montanhas Stanovoy como as fronteiras naturais entre a Rússia e a China. Em meados do século XIX, os russos se expandiria além dessa fronteira para aproveitar as vastas terras entre as montanhas Stanovoy e do rio Amur. Os aliados ocidentais mais tarde iria trazer a Segunda Guerra do Ópio a uma conclusão que queimaria o palácio de verão do imperador chinês, e entrar Pequim. Um Major-General astuto chamado Nicolau Pavlovich Ignatiev foi capaz de convencer os chineses que apenas o apoio russo levaria os aliados a evacuar Pequim. O preço para este apoio foi a Convenção de Pequim, que confirmou os ganhos de Muravyov e, além disso, cedeu território entre o rio Ussuri e o Pacífico á Rússia. Assim, a Rússia ganhou cerca de 350.000 milhas quadradas de território, sem disparar um único tiro.;Depuis le traité de Nerchinsk (1689), l’Empire russe a reconnu le fleuve Argun et les monts Stanovoy comme frontière naturelle entre la Russie et la Chine.  Au cours du XIXe siècle, les Russes franchirent cette frontière pour s’emparer des vastes territoires entre les monts Stanovoy et le fleuve Amour. Les Puissances occidentales mirent plus tard un terme à la seconde guerre de l’opium en brûlant les palais d’été de l’empereur et en s’emparant de Pékin. Un général russe avisé du nom de Nicolaï Ignatiev parvint à convaincre les chinois que seul le soutien de la Russie permettrait l'évacuation de Pékin par les alliés. Le prix de ce soutien fut la convention de Pékin, qui entérinait les conquêtes de Muravyov et cédait à la Russie les territoires entre le fleuve Ussuri et la côte pacifique. Ainsi, la Russie gagna-t-elle 560 000 kilomètres carrés sans tirer un coup de fusil.;Seit dem Vertrag von Nertschinsk (1689) hatte das russische Reich den Fluss Argun und das Stanowoigebirge als natürliche Grenze zwischen Russland und China betrachtet. Mitte des 19. Jahrhunderts wollten die Russen diese Grenze erweitern, um das weiträumige Gebiet zwischen dem Stanowoigebirge und dem Fluss Amur zu annektieren. Später beendeten die westlichen Alliierten den zweiten Opiumkrieg durch Niederbrennen der Sommerpaläste des chinesischen Kaisers und marschierten in Peking ein. Der gerissene Generalmajor Nikolai Ignatjew konnte die Chinesen überzeugen, dass sie die Westmächte nur mit russischer Unterstützung zum Abzug bewegen können würden. Der Preis für diese Unterstützung war die Pekinger Konvention, die Murawjows Forderungen bestätigte und Russland zusätzlich noch das Territorium zwischen dem Fluss Ussuri und dem Pazifik zusprach. Russland hatte sich also einen Gebietsgewinn von 350000 Quadratmeilen verschafft, ohne einen einzigen Schuss dafür abzufeuern.;;Desde el tratado de Nerchinsk (1689), el imperio ruso siempre había reconocido el río Argun y la cordillera de Stanovoy como fronteras naturales entre Rusia y China.  A mediados del siglo XIX, los rusos se expandirían más allá de esta frontera para apoderarse de los vastos territorios situados entre las montañas Stanovoy y el río Amur. Más adelante, los países occidentales pondrían fin a la Segunda Guerra del Opio incendiando los palacios estivales del emperador de China y ocupando Pekín. Un astuto general llamado Nikolay Ignatiev logró convencer a los chinos de que solo el apoyo de Rusia obligaría a los aliados a evacuar la capital. El precio de este apoyo fue la convención de Pekín, donde se confirmaron las ganancias obtenidas por Muravyov y, además, China cedió a Rusia nuevos territorios entre el río Ussuri y el Pacífico. De este modo, Rusia adquirió unas 350.000 millas cuadradas de territorio sin tener que disparar un solo tiro.;;;;;;;;;x
russian_vladivostok_title;O Governo do Leste;Le maître de l’Orient;Der Herrscher des Ostens;;El señor de oriente;;;;;;;;;x
russian_vladivostok_desc;Em julho de 1860, o porto de Vladivostok, ou “Governo do Leste,” foi fundado perto da fronteira coreana. Ele se tornaria um importante porto comercial e da construção naval russa. Eventualmente, ele se tornaria o ponto focal de uma ferrovia intercontinental, bem como um importante centro científico, cultural e industrial de direito próprio. O Czar sonhou que a cidade se tornaria um tubo que liga o oeste com o leste. Talvez a ferrovia para Vladivostok irá substituir o Canal de Suez como portador de produtos e matérias-primas entre o Oriente eo Ocidente?;En juillet 1860, le port de Vladivostok, « le maître de l’Orient » en Russe, fut fondé près de la frontière coréenne.  Il deviendra un des principaux ports et chantiers navals de Russie. La ville finira par devenir le point central d’un réseau ferroviaire intercontinental ainsi qu’une grande capitale scientifique, culturelle et industrielle. Le tsar rêvait d’en faire une passerelle entre l'Occident et l'Orient. Peut-être qu’un jour, le chemin de fer de Vladivostok remplacera-t-il le canal de Suez dans l’acheminement des marchandises et des matières premières entre l’Orient et l’Occident ?;"Im Juli 1869 wurde der Hafen von Wladiwostok, oder auch ""Der Herrscher des Ostens"" nahe der koreanischen Grenze eingeweiht. Er entwickelte sich im Laufe der Zeit zu einem wichtigen Handelshafen und Werftstandort für Russland. Schließlich wurde Wladiwostok zum Mittelpunkt einer interkontinentalen Eisenbahnstrecke sowie zu einem eigenständigen Wissenschafts-, Kultur- und Industriezentrum. Der Zar träumte davon, dass die Stadt der Hauptverbindungspunkt zwischen Ost und West werden würde. Vielleicht wird Wladiwostok schließlich sogar den Suezkanal als Haupttransportader von Gütern und Rohmaterialien zwischen der östlichen und westlichen Hemisphäre ersetzen?";;En julio de 1860 se fundó el puerto de Vladivostok (conocido como “señor de oriente”) cerca de la frontera con Corea.  Se convertiría en un importante núcleo comercial ruso y un astillero de primer orden. Con el tiempo, llegaría a ser el punto focal de un ferrocarril intercontinental, así como un importantísimo centro científico, cultural e industrial por propio derecho. El zar soñaba que la ciudad se convertiría en un eje de conexión entre oriente y occidente. Incluso, quién sabe, el ferrocarril de Vladivostok podía llegar a reemplazar al canal de Suez como principal vía de transporte de mercancías entre el este y el oeste...;;;;;;;;;x
EVTNAME80000;A Convenção de Pequim;La convention de Pékin;Die Pekinger Konvention;;La convención de Pekín;;;;;;;;;x
