#;;;;;;;;;;;;;;x
UNIT_BUILD_TIME_IW;$VAL$ dias.;$VAL$ jours.;$VAL$ Tage.;;$VAL$ días.;;;;;;;;;x
SUPPLY_OWNER;Proprietário:;Possesseur :;Besitzer:;W³aœciciel:;Infantería de testuz y cuernos;Possessore:;Tulajdonos:;Vlastník:;;;;;;x
SUPPLY_ALLIED;Aliado:;Allié :;Verbündet:;Sojusze:;Cuanta más población haya, mayores serán la producción y los ingresos por impuestos.;Alleato:;Szövetségben:;Spojenecký:;;;;;;x
SUPPLY_ACCESS;Acesso militar:;Accès militaire :;Militärzugang:;Przemarsz wojsk:;La población crecerá automáticamente como efecto de una gran estabilidad, paz y tranquilidad. Disminuirá como efecto de un saqueo, ocupación o una escasa estabilidad.\n;Accesso militare:;Katonai hozzáférés:;Vojenský pøístup:;;;;;;x
SUPPLY_CONTROLLER;Controlado:;Contrôleur :;Kontrolliert:;Kontrolowane przez:;Peso máximo de unidades que la provincia puede abastecer sin acusar desgaste. El desgaste real también depende de varios factores más. Una cifra en rojo indica que las unidades estarán desabastecidas (lo que aumenta el desgaste). Los números en amarillo indican provincias adyacentes a fuentes de suministros.;Controllato:;Irányító:;Ovládáno:;;;;;;x
SUPPLY_CONTROLLER_ALLIANCE;Controlado por um aliado:;Contrôleur allié :;Von einem Verbündeten kontrolliert:;Kontrolowane przez sojusznika:;Base;Controllato da alleato:;Szövetséges által irányított:;Ovládáno spojencem:;;;;;;x
SUPPLY_SIEGE;Esta cercando:;Assiège :;Belagert:;Oblega:;Propietario:;Sta assediando:;Ostrom alatt:;Obléhá:;;;;;;x
SUPPLY_CORE;Núcleo:;Territoire clé :;Kernprovinz:;;Núcleo:;;;;;;;;;x
fascist_uh;Os fascistas defendem a extensão da reforma social ea eliminação da reforma política, mas vai se opor a qualquer reforma enquanto o partido no poder não é fascista.;Les fascistes soutiennent la poursuite des réformes sociales et le retrait des réformes politiques à condition que le parti dirigeant partage leur idéologie.;Faschisten unterstützen die Ausweitung von Sozialreformen und die Außerkraftsetzung von Politikreformen - aber nur, wenn Ihre Regierungspartei faschistisch ist.;;Los fascistas abogan por la ampliación de la reforma social, y la eliminación de la reforma política, pero se opondrán a cualquier reforma mientras el partido gobernante no sea fascista.;;;;;;;;;x
reactionary_uh;Os reacionários sempre tentam evitar as reformas, tanto políticas e sociais.;Les réactionnaires sont toujours contre les réformes.;Reaktionäre versuchen stets, Reformen rückgängig zu machen.;;Los reaccionarios siempre tratan de evitar las reformas, tanto políticas como sociales.;;;;;;;;;x
