#;;;;;;;;;;;;;x
WARSUBSIDIES_DI;Oferta de subsídios de guerra;Offre d'indemnités de guerre;Angebot von Kriegssubventionen;;Oferta de subsidios de guerra;;;;;;;;x
CANCEL_WARSUBSIDIES_DI;Cancelação de subsidios de guerra;Annulation des indemnités de guerre;Einstellung von Kriegssubventionen;;Cancelación de subsidios de guerra;;;;;;;;x
ASKMILITARYACCESS_DI;Pedido de acesso militar;Demande d'accès militaire;Anfrage nach Militärzugang;;Solicitud de acceso militar;;;;;;;;x
CANCELASKMILITARYACCESS_DI;Cancelação de acesso militarCancellation of Military Access;Annulation d'un accès militaire;Einstellung von Militärzugang;;Cancelación de acceso militar;;;;;;;;x
GIVEMILITARYACCESS_DI;Oferta de acesso militar;Offre d'accès militaire;Angebot von Militärzugang;;Oferta de acceso militar;;;;;;;;x
CANCELGIVEMILITARYACCESS_DI;Cancelação de acesso militar;Annulation d'un accès militaire;Einstellung von Militärzugang;;Cancelación de acceso militar;;;;;;;;x
ALLIANCE_DI;Oferta de aliança;Offre d'alliance;Bündnisangebot;;Oferta de alianza;;;;;;;;x
CANCELALLIANCE_DI;Quebra de aliança;Alliance rompue;Bündnis gebrochen;;Alianza disuelta;;;;;;;;x
CALLALLY_DI;Chamar aliado;Faire appel à un allié;Bündnisparter zu Hilfe rufen;;Conseguir aliado;;;;;;;;x
DISCREDIT_DI;Desacreditar;Discréditer;In Verruf bringen;;Desprestigio;;;;;;;;x
EXPELADVISORS_DI;Expulsão de assessores;Expulsion de conseillers;Ausweisung von Beratern;;Expulsión de consejeros;;;;;;;;x
BANEMBASSY_DI;Proibição da embaixada;Fermeture d'ambassade;Botschaftsverbannung;;Cierre de embajada;;;;;;;;x
INCREASEOPINION_DI;Aumento de opinião;Opinion en hausse;Meinungssteigerung;;Mejora de opinión;;;;;;;;x
DECREASEOPINION_DI;Diminuição de opinião;Opinion en baisse;Meinungsverringerung;;Merma de opinión;;;;;;;;x
ADDTOSPHERE_DI;Adicionar a esfera;Ajouter à la sphère;Zu Einflusssphäre hinzufügen;;Añadir a la esfera;;;;;;;;x
REMOVEFROMSPHERE_DI;Remover da esfera;Retirer de la sphère;Aus Einflusssphäre entfernen;;Eliminar de la esfera;;;;;;;;x
INCREASERELATION_DI;Aumentar relação;Améliorer les relations;Beziehung verbessern;;Mejorar relación;;;;;;;;x
DECREASERELATION_DI;Diminuir relação;Détériorer les relations;Beziehung verschlechtern;;Empeorar relación;;;;;;;;x
GUNBOAT_DI;Diplomacia de canhoneira;Diplomatie de la canonnière;Kanonenbootdiplomatie;;Diplomacia de las cañoneras;;;;;;;;x
WAR_DI;Guerra;Guerre;Krieg;;Guerra;;;;;;;;x
WARGOAL_DI;Adição de objetivo militar;Ajout d'un objectif de guerre;Hinzufügen von Kriegszielen;;Adición de objetivo bélico;;;;;;;;x
PEACE_DI;Oferta de paz;Offre de paix;Friedensangebot;;Oferta de paz;;;;;;;;x
TOPBAR_LEADERSHIP_MAX;Você já alcançou o nível máximo de liderança, §Y$MAX$§W, e não será mais acumulado.\n;Vous avez déjà atteint le stockage maximum de §Y$MAX$§W de commandement et aucun nouveau commandement ne sera accumulé.\n;Sie haben bereits die maximale Anzahl von §Y$MAX$§W Anführerpunkten erreicht - Sie können keine weiteren aufsparen.\n;;Ya has alcanzado el nivel máximo de liderazgo, §Y$MAX$§W, y no se acumulará más.\n;;;;;;;;x
IS_MOBILIZED_IRO;(As reservas estão mobilizadas);(Les réserves sont mobilisées);(Reserven sind mobilisiert);;(Las reservas están movilizadas);;;;;;;;x
ADD_CRIME;Gain §Y$NAME$§W.\n;Obtention de §Y$NAME$§W.\n;Erhaltung von §Y$NAME$§W.\n;;Obtienes §Y$NAME$§W.\n;;;;;;;;x
TOPBAR_WAR_PLUS;E seus fantoches e domínios.\n;Et leurs puppets et dominions.\n;und ihre puppetnstaaten und Dominions.\n;;Y sus satélites y dominios.\n;;;;;;;;x
CANTBUILD_FORCEDISARM;Não podemos mais construir unidades militares, já que estamos com um tratado de paz que nos obriga o desarme.;Le traité de paix qui nous a contraints à nous désarmer ne nous permet pas de construire de nouvelles unités.;Wir können keine neuen Militäreinheiten bauen, da uns ein Friedensvertrag zur Abrüstung zwingt.;;No podemos construir nuevas unidades militares, ya que estamos sometidos a un tratado de paz que nos obliga al desarme.;;;;;;;;x
SOME_LIFE_NEEDS;Necessidades básicas parcialmente cheia;Besoins vitaux partiellement satisfaits;Grundbedürfnisse teilweise;;Necesidades básicas parcialmente cubiertas;;;;;;;;x
TOPBAR_AVG_CHANGE;Estitamos que isso irá mudar em $VAL$§W durante o próximo mês.;Nous estimons que cela changera à hauteur de $VAL$§W au cours du mois prochain.;Wir vermuten eine Veränderung von $VAL$§W für den nächsten Monat.;;Calculamos que cambiará en $VAL$§W durante el próximo mes.;;;;;;;;;x
TECH_DAILY_RESEARCHPOINTS_BASE_TOOLTIP;Pontos de pesquisa base diária: §Y$VALUE$§W;Points de recherche de base quotidiens : §Y$VALUE$§W;Tägliche Basis-Forschungspunkte: §Y$VALUE$§W;;Base diaria de puntos de investigación: §Y$VALUE$§W;;;;;;;;;x
TECH_DAILY_RESEARCHPOINTS_TOTAL_TOOLTIP;Pontos de pesquisa diária: §G+$VALUE$§W;Points de recherche quotidiens : §G+$VALUE$§W;Tägliche Forschungspunkte: §G+$VALUE$§W;;Puntos de investigación diarios: §G+$VALUE$§W;;;;;;;;;x
TECH_DAILY_RESEARCHPOINTS_TOOLTIP;Os $POPTYPE$ proporcionam §G$VALUE$§W pontos de pesquisa.\n (§Y$FRACTION$%§W of the population, $OPTIMAL$% is optimal.);$POPTYPE$ propose §G$VALUE$§W points de recherche.\n (§Y$FRACTION$%§W de la population, $OPTIMAL$% de manière optimale.);$POPTYPE$ erbringen §G$VALUE$§W Forschungspunkte.\n (§Y$FRACTION$%§W von der Bevölkerung - $OPTIMAL$% ist optimal);;Los $POPTYPE$ proporcionan §G$VALUE$§W puntos de investigación.\n (§Y$FRACTION$%§W de la población, el valor óptimo es $OPTIMAL$%.);;;;;;;;x
average_literacy;Alfabetização;Alphabétisation;Alphabetisierung;;Alfabetización;;;;;;;;x
MODIFIER_RESEARCH_POINTS;Pontos de pesquisa;Points de recherche;Forschungspunkte;;Puntos de investigación;;;;;;;;x
gas;Ataque com gás;Attaque aux gaz;Gasangriff;;Ataque de gases;;;;;;;;x
COMBAT_GASAtaques com gás, se o adversário não tiver uma tecnologia adequada para se defender contra o gás, pode ser devastador.;Les attaques aux gaz, lorsque l'adversaire ne dispose pas de la technologie pour s'en défendre, peuvent être dévastatrices.;Gasangriffe gegen Gegner, deren Technologie noch nicht zu deren Abwehr ausreicht, können verheerend ausfallen.;;Los ataques con gas, cuando el oponente carece de la tecnología apropiada para defenderse de ellos, pueden ser devastadores.;;;;;;;;x
MAY_GAS_ATTACK;Pode usar ataque com gás\n;Peut utiliser les attaques aux gaz\n;Kann Gasangriff einsetzen.\n;;Puede usar ataque de gases\n;;;;;;;;x
MAY_GAS_DEFEND;Pode defender contra ataque com gás\n;Peut se défendre des attaques aux gaz\n;Kann sich gegen Gasangriff verteidigen.\n;;Puede defenderse de ataques de gases\n;;;;;;;;x
IMMIGRANTS_FROM;Havia §G$VAL$§W de imigrantes vindo de $NAME$.;Il y avait §G$VAL$§W immigrants de $NAME$.;Es gab §G$VAL$§W Immigranten aus $NAME$.;;Había §G$VAL$§W inmigrantes procedentes de $NAME$.;;;;;;;;x
EMIGRANTS_TO;§R$VAL$§W emigrado para $NAME$.;§R$VAL$§W ont émigré vers $NAME$.;§R$VAL$§W emigrierten nach $NAME$.;;§R$VAL$§W emigrados a $NAME$.;;;;;;;;x
PW_ALL_FOCUSES_USED;Todo o foco nacional já está sendo usado.;Toutes les causes nationales ont déjà été utilisées.;Alle nationalen Fokusse sind bereits eingesetzt.;;Ya están en uso todos los objetivos nacionales.;;;;;;;;x
HAS_NO_FACTORIES;Não tem fabricas.\n;Ne dispose d'AUCUNE usine.\n;Hat KEINE Fabriken.\n;;NO tiene fábricas.\n;;;;;;;;x
HAS_FACTORIES;Tem fabricas.\n;Dispose d'usines.\n;Hat Fabriken.\n;;Tiene fábricas.\n;;;;;;;;x
RETREAT_DELAY_IRO;Ainda faltam §Y$VAL$§W dia(s) até que possa realizar uma retirada voluntaria.;Il reste §Y$VAL$§W jour(s) jusqu'à ce qu'une retraite volontaire puisse intervenir.;Ein freiwilliger Rückzug ist erst in §Y$VAL$§W Tag(en) möglich.;;Aún falta(n) §Y$VAL$§W día(s) hasta que se pueda realizar una retirada voluntaria.;;;;;;;;x
PW_CANTCOLONIZE;Não é possível colonizar aqui ainda.;Impossible de coloniser ici pour le moment.;Kolonisierung hier noch nicht möglich.;;Aquí no se puede colonizar todavía.;;;;;;;;x
IS_COLONIAL_STATE_POPVIEW;Estado colonial;État colonial;Kolonialstaat;;Estado colonial;;;;;;;;x
CULTURE_IS_NOT;A cultura não é;La culture n'est PAS;Kultur ist NICHT;;La cultura NO es;;;;;;;;x
CULTURE_IS;A cultura é;La culture est;Kultur ist;;La cultura es;;;;;;;;x
INVALID_WARTARGET_TROOPS_IN_THEM;Temos tropas dentro das fronteiras.;Nous avons des troupes à l'intérieur de leurs frontières.;Wir haben Truppen innerhalb ihrer Grenzen.;;Tenemos tropas dentro de sus fronteras.;;;;;;;;x
WEX_EFFECTS;Efeitos atuais;Effets actuels;Aktuelle Effekte;;Efectos en curso;;;;;;;;x
NOBODY_CAN_VOTE_HERE;Ninguém pode votar.;Personne n'est autorisé à voter.;Niemand darf wählen.;;Nadie puede votar.;;;;;;;;x
NOT_ABLE_TO_REINFORCE;Essa população é muito pequena para reforça esta brigada.;Ce POP est trop petit pour renforcer cette brigade.;Diese Bev ist zur Verstärkung dieser Brigade nun zu klein.;;Esta POB es demasiado pequeña para reforzar esta brigada.;;;;;;;;;x
POP_SIZE_UNITVIEW;Essa população tem §Y$VAL$§W pessoas que podem suportar §Y$ALLOWED$§W brigadas. Atualmente há §Y$CURRENT$§W brigadas..;Ce POP dispose de §Y$VAL$§W personnes et peut soutenir §Y$ALLOWED$§W brigades. Il dispose actuellement de §Y$CURRENT$§W brigades.;Diese Bev besteht aus §Y$VAL$§W Menschen und kann §Y$ALLOWED$§W Brigaden unterstützen. Derzeit hat sie §Y$CURRENT$§W Brigaden.;;Esta POB cuenta con §Y$VAL$§W personas y puede mantener §Y$ALLOWED$§W brigadas. Actualmente tiene §Y$CURRENT$§W brigadas.;;;;;;;;;x
MAX_REINF_UNITVIEW;Reforço a um §G100%§W de velocidade.;Renfort à une vitesse de §G100%§W.;Verstärkung trifft mit §G100%§W Geschwindigkeit ein.;;Refuerzo a un §G100%§W de velocidad.;;;;;;;;;x
POP_IMPACT_UNITVIEW;Devido as perdas das reservas, esta unidade reforça a um §Y$VAL$%§W de velocidade.;Compte tenu des pertes subies dans les réserves, cette unité se renforce à une vitesse de §Y$VAL$%§W.;Aufgrund von Verlusten bei den Reservetruppen wird diese Einheit mit §Y$VAL$%§W Geschwindigkeit verstärkt.;;Debido a las pérdidas de las reservas, esta unidad se refuerza a un §Y$VAL$%§W de velocidad.;;;;;;;;;x
MOB_IS_REINFORCE;As unidades mobilizadas se reforça a um §Y50%§W de velocidade.;Les unités mobilisées se renforcent à une vitesse de §Y50%§W.;Mobilisierte Einheiten werden mit §Y50%§W Geschwindigkeit verstärkt.;;Las unidades movilizadas se refuerzan a un §Y50%§W de velocidad.;;;;;;;;x
EVTNAME60120;O auge do federalismo;Fédéralisme en hausse;Steigender Föderalismus;;Federalismo en auge;;;;;;;;;x
EVTDESC60120;Um sentimento de nacionalismo cultural está varrendo $COUNTRY$. As pessoas começam a exigir a unificação com nossas relações culturais do estado conhecido como $CULTURE_GROUP_UNION$. Nós não acreditamos que eles poderiam se opor a um pedido de anexação.;Un sentiment de nationalisme culturel déferle sur $COUNTRY$ et les gens commencent à appeler à l'unification avec nos frères culturels de $CULTURE_GROUP_UNION$. Nous avons peu de raison de douter qu'ils s'opposeront à une pétition d'annexion.;In der gesamten Bevölkerung von $COUNTRY$ macht sich kultureller Nationalismus breit. Das Volk schreit nach der Vereinigung mit unseren kulturellen Brüdern in $CULTURE_GROUP_UNION$. Wir haben kaum Zweifel daran, dass sie einer Anschlusspetition zustimmen würden.;;Un sentimiento de nacionalismo cultural está recorriendo $COUNTRY$. La gente empieza a demandar la unificación con nuestros parientes culturales del estado conocido como $CULTURE_GROUP_UNION$. No creemos que pudieran oponerse a una petición de anexión.;;;;;;;;;;;x
EVTOPTA60120;Vamos fazer isso;Allons-y;Machen wir;;Hagámoslo.;;;;;;;;;x
EVTNAME60130;Petições de anexação de $FROMCOUNTRY$;$FROMCOUNTRY$ Pétitions d'annexion;$FROMCOUNTRY$s Anschlusspetition;;Peticiones de anexión desde $FROMCOUNTRY$;;;;;;;;;x
EVTDESC60130;Em resposta ao surgimento de sentimentos nacionalistas na população, o governo do $FROMCOUNTRY$ solicitou formalmente às nossas autoridades em $CAPITAL$ que permitirá que você possa se juntar a $COUNTRY$ de forma permanente. Aparentemente não tem nenhum motivo de se opor a tal movimento.;À la suite d'une montée de sentiments nationalistes, le gouvernement $FROMCOUNTRY_ADJ$ a formulé une demande officielle auprès de nos autorités de $CAPITAL$ pour les autoriser à rejoindre $COUNTRY$ dans le cadre d'une union perpétuelle. Il n'existe apparemment aucune raison de s'opposer à ce mouvement.;Nach einem Aufwogen nationalistischer Strömungen in der Bevölkerung hat die $FROMCOUNTRY_ADJ$e Regierung unseren Behörden in $CAPITAL$ einen formalen Antrag überreicht, sich $COUNTRY$ in einer in dauerhaften Union anschließen zu dürfen. Es bestehen wohl kaum Gründe, sich diesem Schritt zu verweigern.;;Atendiendo al auge de sentimientos nacionalistas en la población, el gobierno de $FROMCOUNTRY$ ha cursado una solicitud formal a nuestras autoridades en $CAPITAL$ que le permitiría unirse a $COUNTRY$ de forma permanente. No parece haber razón para oponerse a tal maniobra.;;;;;;;;;x
EVTOPTA60130;Vamos fazer isso;Allons-y;Machen wir;;Hagámoslo.;;;;;;;;;x
EVTOPTB60130;Por Deus, não, $FROMCOUNTRY_ADJ$ é uma escória.;Dieu du ciel, pas cette racaille $FROMCOUNTRY_ADJ$;$FROMCOUNTRY_ADJ$er Abschaum!;;No, por Dios, escoria $FROMCOUNTRY_ADJ$ ;;;;;;;;;x
ATPEACE;Em paz;En paix;Im Frieden;;En paz;;;;;;;;;x
NORMAL_WAR_RUDEBOI_NAME;$ORDER$ Guerra $FIRST$ de contenção $SECOND$;$ORDER$$FIRST$ guerre de confinement $SECOND$;$ORDER$$FIRST$er Krieg zur $SECOND$en Beherrschung;;$ORDER$ Guerra $FIRST$ de contención $SECOND$;;;;;;;;;x
AGRESSION_WAR_RUDEBOI_NAME;$ORDER$ Guerra $FIRST$ de contenção $SECOND$;$ORDER$$FIRST$ guerre de confinement $SECOND$;$ORDER$$FIRST$er Krieg zur $SECOND$en Beherrschung;;$ORDER$ Guerra $FIRST$ de contención $SECOND$;;;;;;;;;x
rude_boy;Contenção;Confinement;Beherrschung;;Contención;;;;;;;;;x
rude_boy_desc;Força o outro §YPaís§W, que desistiu de qualquer pretensão de comportamento civilizado no campo das relações internacionais, para reduzir drasticamente as suas ambições.;Obligez un autre §Ypays§W, qui s'est débarrassé de tout faux-semblant de conduite civilisée au royaume des affaires internationales, à limiter considérablement ses ambitions.;Zwingen Sie ein anderes §YLand§W, das bezüglich internationaler Beziehungen sämtliche Vortäuschungen zivilisierten Benehmens über Bord geworfen hat, seine Ambitionen drastisch zu reduzieren.;;Obliga a otro §Ypaís§W, que ha renunciado a toda pretensión de conducta civilizada en el campo de los asuntos internacionales, a reducir de forma drástica sus ambiciones.;;;;;;;;;x
rude_boy_setup;Contenção de $RECIPIENT$ pela a redução do seu território, prestigio e seu exército.;Confinez $RECIPIENT$ en réduisant son territoire, son prestige et son armée.;Halten Sie $RECIPIENT$ in Schach, indem Sie ihr Territorium, Prestige und Militär reduzieren.;;Contención de $RECIPIENT$ por reducción de su territorio, su prestigio y su ejército.;;;;;;;;;x
rude_boy_short;Contenção de $RECIPIENT$;Contenir $RECIPIENT$;Halten Sie $RECIPIENT$ in Schach.;;Contención de $RECIPIENT$;;;;;;;;;x
POP_DETAILS_EXPENSES;Despesas:;Dépenses :;Ausgaben:;;Gastos:;;;;;;;;;x
CONFIRM_CREATE_VASSAL;Liberar nação;Libérer une nation;Nation entlassen;;Liberar nación;;;;;;;;;x
CONFIRM_CREATE_VASSAL_DESC;Você quer liberar §Y$COUNTRY$§W como §Y$TYPE$§W?\n §Y$COUNTRY$§W irá receber o(s) seguinte(s) §Y$NUM$§W província(s): §Y$PROVINCES$§W.;Souhaitez-vous libérer §Y$COUNTRY$§W en tant que §Y$TYPE$§W ?\n §Y$COUNTRY$§W recevra la(les) §Y$NUM$§W province(s) suivante(s) : §Y$PROVINCES$§W.;Möchten Sie §Y$COUNTRY$§W als §Y$TYPE$§W entlassen?\n §Y$COUNTRY$§W würde folgende §Y$NUM$§W Provinz(en) erhalten: §Y$PROVINCES$§W.;;¿Quieres liberar a §Y$COUNTRY$§W como §Y$TYPE$§W?\n §Y$COUNTRY$§W recibirá la(s) siguiente(s) §Y$NUM$§W provincia(s): §Y$PROVINCES$§W.;;;;;;;;;x
egyptian_excavations;Escavações Egípcias;Fouilles égyptiennes;Ägyptische Ausgrabungen;;Excavaciones egipcias;;;;;;;;;x
egyptian_excavations_desc;Nosso país está levando a serio as escovações arqueológicas do vale dos reis.;Notre pays mène des fouilles archéologiques dans la vallée des rois.;Unser Land führt die archäologischen Ausgrabungen im Tal der Könige.;;Nuestro país está llevando a cabo excavaciones arqueológicas en el Valle de los Reyes.;;;;;;;;;x
#POP_DETAILS_EXPENSES;Despesas:;Dépenses :;Ausgaben:;;Gastos:;;;;;;;;;x
